misinformation_type,rebuttal_type,overall
Ad Hominem,No Evi,1.0166666666666666
Ad Populum,No Evi,1.4733333333333334
Appeal to Emotion,Alt,0.9366666666666666
Circular Claim,Dif Per1,1.6666666666666667
Deductive Fallacy,ATC,1.34
Equivocation,No Evi,1.27
Fallacy of Credibility,No Evi,1.6633333333333333
Fallacy of Extension,No Evi,1.3433333333333333
Fallacy of Relevance,Mig,1.1766666666666667
False Causality,No Evi,1.3533333333333333
False Dilemma,MM1,1.47
Faulty Generalization,Neg eff,1.52
Intentional Fallacy,NNA,1.42
