,rating,agent_type,misinformation_type,rebuttal_type,rating_score
0,somewhat helpful,neutral,Circular Claim,Mitigation,1
1,somewhat helpful,neutral,Circular Claim,Alternative,1
2,helpful,neutral,Circular Claim,No Evidence,2
3,helpful,neutral,Circular Claim,Another True Cause,2
4,somewhat helpful,neutral,Circular Claim,Missing Mechanism 1,1
5,helpful,neutral,Circular Claim,Missing Mechanism 2,2
6,helpful,neutral,Circular Claim,No Need to Address,2
7,helpful,neutral,Circular Claim,Negative Effect due to y,2
8,helpful,neutral,Circular Claim,Positive Effects of a Different Perspective from y 1,2
9,helpful,neutral,Circular Claim,Positive Effects of a Different Perspective from y 2,2
10,somewhat helpful,neutral,Appeal to Emotion,Mitigation,1
11,somewhat helpful,neutral,Appeal to Emotion,Alternative,1
12,somewhat helpful,neutral,Appeal to Emotion,No Evidence,1
13,somewhat helpful,neutral,Appeal to Emotion,Another True Cause,1
14,somewhat helpful,neutral,Appeal to Emotion,Missing Mechanism 1,1
15,somewhat helpful,neutral,Appeal to Emotion,Missing Mechanism 2,1
16,somewhat helpful,neutral,Appeal to Emotion,No Need to Address,1
17,somewhat helpful,neutral,Appeal to Emotion,Negative Effect due to y,1
18,somewhat helpful,neutral,Appeal to Emotion,Positive Effects of a Different Perspective from y 1,1
19,somewhat helpful,neutral,Appeal to Emotion,Positive Effects of a Different Perspective from y 2,1
20,somewhat helpful,neutral,Ad Hominem,Mitigation,1
21,somewhat helpful,neutral,Ad Hominem,Alternative,1
22,somewhat helpful,neutral,Ad Hominem,No Evidence,1
23,somewhat helpful,neutral,Ad Hominem,Another True Cause,1
24,somewhat helpful,neutral,Ad Hominem,Missing Mechanism 1,1
25,somewhat helpful,neutral,Ad Hominem,Missing Mechanism 2,1
26,somewhat helpful,neutral,Ad Hominem,No Need to Address,1
27,somewhat helpful,neutral,Ad Hominem,Negative Effect due to y,1
28,somewhat helpful,neutral,Ad Hominem,Positive Effects of a Different Perspective from y 1,1
29,somewhat helpful,neutral,Ad Hominem,Positive Effects of a Different Perspective from y 2,1
30,helpful,neutral,Fallacy of Relevance,Mitigation,2
31,somewhat helpful,neutral,Fallacy of Relevance,Alternative,1
32,somewhat helpful,neutral,Fallacy of Relevance,No Evidence,1
33,somewhat helpful,neutral,Fallacy of Relevance,Another True Cause,1
34,somewhat helpful,neutral,Fallacy of Relevance,Missing Mechanism 1,1
